Object                                                                                    Feature                       Support 
(batting/NN, fiberglass/NNS)                                                              r-38/NN                       4.20397E-5
(bbq/NN, coal/NN)                                                                         char/NN                       4.20397E-5
(bead/NN, corner/NN)                                                                      outside/JJ                    4.20397E-5
(bi/NN, .3/NN)                                                                            gu5/NN                        4.20397E-5
(blacktop/NN, patch/NN)                                                                   cold/JJ                       4.20397E-5
(blade/NN, razor/NN)                                                                      straight/JJ                   4.20397E-5
(bleach/NN, part/NN)                                                                      1/CD                          8.40795E-5
(bleach/NN, part/NN)                                                                      1/CD                          8.40795E-5
(block/NNS, concrete/NN)                                                                  large/JJ                      4.20397E-5
(board/NN, cement/NN)                                                                     Use/NNP                       4.20397E-5
(board/NN, mail/NN)                                                                       junk/NN                       4.20397E-5
(board/NN, particle/NN)                                                                   thick/JJ                      4.20397E-5
(board/NNS, deck/NN)                                                                      5/4/CD                        4.20397E-5
(board/NNS, floor/NN)                                                                     whole/JJ                      4.20397E-5
(board/NNS, laminate/NN)                                                                  individual/JJ                 4.20397E-5
(body/NNS, code/NN)                                                                       different/JJ                  4.20397E-5
(bolt/NNS, toggle/NN)                                                                     use/NN                        4.20397E-5
(bond/NNS, grout/NN)                                                                      new/JJ                        4.20397E-5
(Borax/NNP, teaspoon/NN)                                                                  one/CD                        4.20397E-5
(border/NN, wood/NN)                                                                      solid/JJ                      4.20397E-5
(bowl/NN, glass/NN)                                                                       counter/JJ                    4.20397E-5
(box/NN, breaker/NN)                                                                      main/JJ                       4.20397E-5
(box/NN, breaker/NN)                                                                      new/JJ                        8.40795E-5
(box/NN, breaker/NN)                                                                      new/JJ                        8.40795E-5
(box/NN, breaker/NN)                                                                      small/JJ                      4.20397E-5
(box/NN, breaker/NN)                                                                      sub/NN                        4.20397E-5
(box/NN, drain/NN)                                                                        plastic/JJ                    4.20397E-5
(box/NN, gang/NN)                                                                         electrical/JJ                 4.20397E-5
(box/NN, junction/NN)                                                                     electrical/JJ                 4.20397E-5
(box/NN, junction/NN)                                                                     messy/JJ                      4.20397E-5
(box/NN, mail/NN)                                                                         priority/NN                   4.20397E-5
(box/NN, metal/NN)                                                                        big/JJ                        4.20397E-5
(box/NN, valve/NN)                                                                        large/JJ                      4.20397E-5
(box/NNS, junction/NN)                                                                    electrical/JJ                 4.20397E-5
(brand/NN, Floors/NNPS)                                                                   US/NNP                        4.20397E-5
(breaker/NN, circuit/NN)                                                                  correct/JJ                    4.20397E-5
